id,label
47,0
49,0
17,1
53,0
156,0
107,1
92,0
116,0
158,0
42,0
70,0
160,0
2,1
72,0
19,0
162,0
23,0
100,0
125,0
65,0
131,0
141,0
98,1
108,0
37,0
86,0
51,0
133,1
69,0
137,0
36,0
135,0
165,0
35,0
126,0
61,0
157,1
144,0
50,0
74,0
103,0
22,1
54,0
150,0
155,0
10,1
27,0
82,1
77,0
79,1
90,0
46,0
136,0
111,1
122,0
14,0
164,0
76,0
110,0
28,0
95,0
78,0
62,1
148,0
26,0
30,0
8,0
96,1
91,1
104,0
29,1
124,0
71,0
15,0
40,0
73,0
163,0
93,1
109,1
83,0
139,0
6,0
130,1
60,0
105,1
123,1
13,0
68,0
4,1
97,0
85,0
113,0
143,0
31,1
64,0
18,0
1,0
21,0
129,0
7,0
3,0
147,0
75,0
167,0
32,0
44,0
99,0
169,0
87,0
12,0
20,1
41,0
121,1
149,0
106,0
138,0
11,0
39,0
166,1
84,0
33,0
66,0
117,0
94,0
38,0
154,0
9,0
25,0
67,0
24,1
59,0
57,0
152,0
56,0
128,0
170,0
63,0
114,1
145,1
55,1
89,0
132,0
48,0
115,0
112,0
34,0
120,0
80,0
134,0
43,1
16,0
161,0
45,1
5,0
127,1
58,0
