id,label
1,1
2,0
3,1
4,0
5,1
6,0
7,1
8,0
9,1
10,0
11,1
12,0
13,1
14,0
15,0
16,1
17,0
18,1
19,0
20,1
21,0
22,0
23,1
24,0
25,1
26,0
27,0
28,1
29,0
30,1
31,0
32,1
33,0
34,0
35,1
36,0
37,1
38,0
39,1
40,0
41,1
42,0
43,1
44,0
45,0
46,1
47,0
48,0
49,1
50,0
51,1
52,0
53,1
54,0
55,1
56,0
57,1
58,0
59,0
60,1
61,0
62,1
63,0
64,1
65,0
66,1
67,0
68,1
69,0
70,1
71,0
72,1
73,0
74,1
75,0
76,1
77,0
78,1
79,0
80,1
81,0
82,0
83,1
84,0
85,1
86,0
87,1
88,0
89,1
90,0
91,1
92,0
93,1
94,0
95,1
96,0
97,1
98,0
99,1
100,0
101,1
102,0
103,1
104,0
105,1
106,0
107,1
108,0
109,1
110,0
111,1
112,0
113,1
114,0
115,1
116,0
117,1
118,0
119,1
120,0
121,0
122,1
123,0
124,1
125,0
126,1
127,0
128,1
129,0
130,1
131,0
132,1
