id,label
75,0
107,0
44,0
61,0
46,0
116,0
72,0
48,0
98,0
82,0
64,0
16,0
20,0
7,0
101,0
4,0
55,1
65,1
69,0
112,1
27,0
97,0
43,1
42,0
88,1
106,0
71,0
73,1
96,0
17,0
14,0
94,0
76,0
24,0
11,0
34,0
109,0
63,1
6,0
83,1
125,0
79,0
104,0
74,0
123,1
52,0
86,0
87,0
57,1
85,1
12,0
41,0
8,0
93,0
113,0
18,0
50,0
118,0
59,1
40,0
39,0
38,0
33,1
47,0
15,0
49,0
3,0
36,1
100,0
31,0
54,0
35,0
117,0
121,0
67,0
26,0
58,0
115,0
10,1
110,1
53,1
108,0
99,0
19,0
22,0
13,0
66,0
91,0
77,0
37,0
124,0
30,0
21,1
105,0
70,0
23,1
56,0
60,0
89,0
122,0
111,0
25,0
102,0
9,0
119,0
120,1
68,0
78,0
80,1
1,1
29,0
28,1
32,0
81,0
45,0
84,0
95,1
90,0
5,0
2,0
