id,label
1,1
2,0
3,1
4,0
5,1
6,0
7,1
8,0
9,1
10,0
11,1
12,0
13,1
14,0
15,1
16,0
17,0
18,1
19,0
20,1
21,0
22,0
23,1
24,0
25,1
26,0
27,1
28,0
29,1
30,0
31,0
32,1
33,0
34,1
35,0
36,1
37,0
38,1
39,0
40,0
41,1
42,0
43,1
44,0
45,1
46,0
47,0
48,1
49,0
50,1
51,1
52,0
53,1
54,0
55,1
56,0
57,0
58,1
59,0
60,1
61,0
62,1
63,0
64,1
65,0
66,1
67,0
68,1
69,0
70,1
71,0
72,1
73,0
74,1
75,0
76,0
77,1
78,0
79,1
80,0
81,1
82,0
83,1
84,0
85,0
86,1
87,0
88,1
89,0
90,1
91,0
92,0
93,1
94,0
95,1
96,0
97,1
98,0
99,0
100,1
101,1
102,0
103,1
104,0
105,1
106,0
107,1
108,0
109,1
110,0
111,1
112,0
113,1
114,0
115,1
116,0
117,1
118,0
119,1
120,0
121,0
122,1
123,0
124,1
125,0
126,1
127,0
128,1
129,0
130,1
131,0
132,0
133,1
134,0
135,1
136,0
137,1
138,0
139,0
140,1
141,0
142,1
143,0
144,1
145,0
146,1
147,0
148,1
149,0
150,0
