id,label
109,0
58,1
93,0
107,0
40,0
63,0
18,0
120,0
68,0
116,0
28,0
22,0
86,0
91,0
46,0
35,0
75,0
85,0
88,0
126,0
34,0
69,0
115,0
103,0
3,0
80,0
117,0
129,0
94,1
89,0
15,0
4,0
71,0
66,0
65,1
42,0
47,0
12,0
105,0
114,0
83,1
98,0
87,0
31,0
19,0
127,0
59,0
48,0
108,0
104,1
124,1
76,0
81,0
8,0
45,1
73,0
10,1
56,0
130,1
102,0
123,0
70,0
110,0
119,0
2,0
5,0
111,0
84,0
6,0
17,1
112,0
11,0
7,0
14,1
36,0
92,1
128,0
38,0
26,0
23,0
96,1
121,1
125,0
21,0
9,0
39,1
131,0
32,1
61,0
43,0
82,0
74,0
30,0
72,0
54,1
55,0
24,1
64,0
60,1
1,0
29,1
13,0
33,0
67,0
78,1
37,0
52,1
27,0
118,0
106,1
97,0
79,0
41,1
44,0
20,1
16,0
50,0
95,0
101,0
122,0
25,0
100,0
57,0
62,0
