id,text
24,Can you send me the latest sales figures? I need them for the report.
154,🚚 Your package is on the way! Track it here: tracking[.]com/123456
147,Your subscription has been renewed successfully. Thank you!
21,Great job on the presentation! Everyone loved it!
130,Your shipment is delayed due to unforeseen circumstances. We apologize for the inconvenience.
146,Looking forward to our meeting next week! Let's finalize the agenda.
150,Your account will be suspended unless you verify your email address. Act now!
132,The meeting has been moved to the conference room. See you there!
57,You have a new message from your secret admirer! Open to read more. 💌
90,You have a new notification! Check it out on your dashboard.
140,You've been chosen for a free trial of our premium service! Sign up now!
19,"Hey, just wanted to remind you about the potluck this Friday!"
22,Don't miss out on our exclusive sale! Up to 50% off!
141,The team did an amazing job on the project! Let's celebrate!
129,Hey! Did you see the latest episode of that show? Let's discuss!
149,Don't forget to submit your timesheets by the end of the week!
110,Looking forward to the game this weekend! Let's meet at the usual spot.
131,Congratulations! You've been selected for a special promotion! Click here to claim it!
76,Your invoice is ready for download. Visit our site to access it.
157,"💖 I can't stop thinking about you! Let's meet up soon, just us!"
36,Thanks for your help with the project! It’s going great!
127,Just a reminder about the deadline for the grant applications!
46,Congratulations! You’ve been selected for a special offer! Click here: special-offer[.]com
100,Thanks for your hard work! Let’s keep pushing towards our goals!
77,I can’t believe we won the game! 🎉 Let’s celebrate!
105,I fοund ɑ grеɑt dеɑⅼ οn ϲryptο іnvеstmеnts! Dοn't mіss οut οn thіs οppοrtunіty!
58,The school play is this Friday! Don’t forget to buy tickets! 🎭
113,Your subscription is about to expire. Renew now for uninterrupted service!
53,Your package is ready for pickup at the local store. Check your email for details!
29,Your payment has been processed successfully. Thank you!
41,You’ve won a free gift card! Claim it now: win-gift[.]com
4,Reminder: Team meeting at 3 PM tomorrow. Don’t forget to bring your reports!
107,🚨 Urgent: Your account has been compromised. Log in immediately to secure it!
103,Your parcel is on hold due to customs fees. Pay now to release it!
48,Your account has been temporarily suspended. Please verify your identity: verify-identity[.]com
106,Can you send me the updated presentation slides? Thanks!
120,Great news! Your application has been approved. Welcome aboard!
71,You have a new follower on social media! Check it out!
142,Your order has been shipped! Track it here: ordertracking[.]com
74,Your account will be suspended unless you verify your identity. Act now!
28,Looking forward to the game this weekend! Let’s meet up!
88,Excited for the upcoming conference! Let’s meet up there!
133,Your account will be suspended unless you verify your information. Act now!
49,Thanks for the update! Let’s touch base next week.
52,Reminder: Team meeting tomorrow at 3 PM. Please be on time!
155,Urgent: Your account has been compromised. Log in immediately to secure it: phishinglink[.]com
158,Reminder: Team meeting on Friday at 2 PM. Please be prepared with your updates!
97,Looking forward to seeing everyone at the team retreat!
25,You’ve been selected for a chance to win a vacation! Enter now! 🌴
