id,text
33,Looking forward to the team outing next month! 🎉
79,You have a new follower on social media! Check it out! 🎉
51,Don't miss out on our exclusive sweepstakes! Enter now for a chance to win big! 🎉
27,Congratulations! You’ve been chosen for a $500 shopping spree! Click here!
117,Can we reschedule our call to next week? I have a conflict on Thursday.
49,You’ve won a free cruise! Click to claim your spot!
6,Urgent: Your account has been compromised. Log in immediately to secure it!
60,Looking forward to the game this weekend! Let’s meet at the usual spot! ⚽️
125,Reminder: Submit your timesheets by Friday to avoid delays in payment.
101,Congratulations! You've won a $1000 gift card! Click here to claim your prize: winbig[.]com
15,Claim your free vacation now! Just pay shipping! Visit: vacation-offer[.]com
46,Just a reminder that the deadline for the application is approaching!
94,Congratulations! You’ve won a $100 gift card! Claim it now!
42,Congratulations! You’ve been selected for a special prize! Click here to claim!
108,"Hey, can you send me the notes from yesterday's meeting? I missed a few points."
72,You have received a parcel that requires your immediate attention. Visit example[.]com.
127,The final exam schedule has been posted. Check the school website for details.
43,The team did an amazing job on the last project! Proud of everyone!
63,The delivery is scheduled for tomorrow between 10 AM and 12 PM. 📦
110,"💖 I can't stop thinking about you! Let's meet up soon, I miss you!"
12,You have a new message from your secret admirer! Check it out now! 💌
65,Great job on the presentation! The client was really impressed. 👍
116,💰 Invest in crypto now and watch your wealth grow! Don't miss this chance!
59,Your invoice is overdue. Please make payment to avoid service interruption.
131,You have a new message from your friend! Check it out now!
81,Your invoice is attached. Please review and let us know if you have questions.
5,Great job on the presentation! Everyone loved it! 🎉
129,🚨 Alert: Your login attempt was unsuccessful. Please try again or reset your password.
132,The office will be closed for the holidays. Enjoy your time off! 🎉
36,Your package is delayed due to weather conditions. We apologize for the inconvenience.
82,"Hey, just wanted to see if you’re free for coffee this week! ☕️"
56,Just wanted to say thanks for your help with the report. It really made a difference!
58,Can we reschedule our lunch meeting? I have a conflict at the original time.
85,You’ve been chosen for a special promotion! Click here to claim your prize!
17,Your account will be suspended unless you verify your identity here: verify[.]com
88,You have a new message from an admirer! Open it to see who it is! 💖
20,Just a quick note: the deadline for the scholarship application is approaching!
11,Hey! Did you see the latest episode of that show? So good! 😄
104,Reminder: The project deadline is next Friday. Please submit your reports by then!
126,You have won a luxury vacation! Claim your prize now at winvacation[.]com!
23,"Hey, are we still on for the game this weekend? Let me know!"
111,Important: Your account will be suspended unless you verify your login details.
68,Just a quick note: the budget meeting has been moved to next week.
21,Your package is ready for pickup! Please bring your ID.
130,Thanks for the update! I appreciate your hard work on this project!
22,Win a brand new iPhone! Enter the contest now: iphone-giveaway[.]com
78,Your package is ready for pickup at the store. Don’t forget your ID!
14,Your delivery is scheduled for tomorrow between 2-4 PM. 📦
53,Your p4ck4ge is on hold due to customs. Ple4se verify your det4ils 4t ex4mple[.]com.
30,Can you send me the updated budget by EOD? Thanks!
40,Can you confirm the meeting time for tomorrow? Thanks!
31,Your feedback is important to us! Please take a moment to complete this survey.
73,Just a reminder that the team outing is next Friday! Hope to see everyone there!
50,Hey! Are we still on for the movie this Friday? Let me know!
87,Your order has shipped! Track it here: tracking[.]com/yourorder
32,You’ve received a gift card worth $100! Claim it now: giftcard-claim[.]com
